T,Rs
K,ohm
,#7-1UC
300.0017548,561.2539307
299.9992523,561.2128979
299.9763947,561.2487134
299.8166046,561.1933813
299.625946,561.2288989
299.4617004,561.2770093
299.2912903,561.3290894
299.0055084,561.3312231
298.4756012,561.3617139
297.6554413,561.4322876
296.3136139,561.5433813
294.9446411,561.7779907
293.6047974,561.9773779
293.0880585,562.1787402
292.8186951,562.2607568
292.3306427,562.3432715
291.6003876,562.4695239
290.9856567,562.6283545
290.4276581,562.8597461
289.9933014,563.0194995
289.7957458,563.116084
289.2285919,563.1927051
288.2971954,563.3808081
287.5449982,563.438894
287.0025024,563.599707
286.4268036,563.7352612
285.8143005,563.9226514
285.1573029,564.019751
284.5930023,564.1666846
283.9673004,564.4485376
283.3346405,566.1351831
282.684845,566.9216089
282.0310974,567.1590942
281.4412537,567.3375903
280.949707,567.510144
280.3477936,567.682937
279.7262421,567.8516748
279.1463013,567.9566992
278.5048981,568.0865698
277.9573517,568.1972412
277.3229065,568.3178223
276.7200623,568.4502295
276.1404877,568.5450293
275.5333099,568.6566113
274.9301453,568.7688086
274.3181,568.8929688
273.7443542,568.9984106
273.1140137,569.0784424
272.5534515,569.2113599
271.9395905,569.3418555
271.3339996,570.1087646
270.7355499,571.0507959
270.14505,571.1314355
269.5357513,571.2222729
268.9660492,571.3715015
268.3453979,571.5693237
267.738205,571.6451831
267.1190948,571.7146997
266.5752563,571.6121045
265.9553986,571.6886328
265.3165436,572.008125
264.7145996,572.1140845
264.095047,572.1527856
263.5572052,572.1855566
262.9747467,572.2434863
262.3375854,572.3341846
261.7267456,572.3437305
261.1217041,572.0659961
260.5616455,571.9510596
259.9555511,572.0397803
259.3245392,572.1219629
258.7120056,572.2175342
258.1233368,572.3368799
257.5127106,572.4624927
256.949646,572.6498218
256.3295593,572.8377832
255.7323456,573.0944897
255.108551,573.4409766
254.5600967,573.7542358
253.9312439,574.1539307
253.3249969,576.0323633
252.7465057,576.3910229
252.09375,576.6495337
251.5463486,576.8164355
250.9385986,576.8802905
250.3105011,577.0276123
249.674202,577.1992017
249.163147,577.3031616
248.5374527,577.3464429
247.9181519,577.4482739
247.2767029,577.5338379
246.6953506,577.5679297
246.1078033,577.6633447
245.5126495,577.7316382
244.9512482,577.8445703
244.3382492,577.8566626
243.7247009,577.9936011
243.1504974,578.0332324
242.5331039,578.0803418
241.8935547,578.2120508
241.3078003,578.3038623
240.7090988,578.2898169
240.153244,578.3875146
239.5099487,578.6928516
238.9588013,579.0420654
238.3353958,579.1134888
237.7444,579.2300952
237.1546555,579.3213867
236.5320053,579.4753564
235.914299,579.5913525
235.3386002,579.7357275
234.709549,579.7650439
234.1392517,579.8261646
233.5162964,579.8857617
232.890152,579.9331689
232.3012466,580.0048096
231.7347488,580.0505933
231.1004486,580.1050244
230.5253983,580.1380981
229.9285507,580.6955322
229.2969513,581.2686768
228.726799,581.3299023
228.112999,581.312373
227.5624466,581.3673926
226.9132004,581.4552026
226.3234482,581.6856763
225.7154007,583.9176025
225.0895462,584.3938037
224.5410538,584.8375537
223.9312973,585.7142358
223.3074493,586.5433325
222.7168961,587.2569336
222.1270523,588.4890723
221.5013962,589.9524561
220.9530487,590.427749
220.330452,590.3362915
219.7244492,590.2568945
219.1301041,590.158584
218.521904,590.0790112
217.9366531,589.9470117
217.3133469,589.9473169
216.7070999,589.923855
216.1518936,589.7572192
215.5246964,589.3654639
214.9220505,588.9772192
214.2946472,588.9054199
213.7328491,588.7003076
213.092453,588.5494287
212.5394516,588.517876
211.9157028,589.2193604
211.3311996,589.6367261
210.6984558,589.486438
210.1552505,589.35646
209.5368958,589.3142261
208.9565964,589.0537354
208.3492508,588.9487061
207.723999,588.7006958
207.1057968,588.4911768
206.5351028,588.3968237
205.9190445,588.1655981
205.3065491,588.0125562
204.7402496,587.9732031
204.1576996,587.8841309
203.5453491,587.814624
202.9295044,587.6105127
202.314949,587.3686035
201.7105484,587.1630762
201.1367493,586.8314771
200.4913025,586.5073999
199.9072495,587.0041724
199.3022995,587.8897949
198.7388992,587.7298779
198.1334991,587.3250732
197.5152054,587.2189966
196.9057541,587.0665552
196.2941971,587.6120947
195.732399,587.836416
195.0985489,587.8041577
194.5474548,587.7852612
193.9392014,587.625498
193.3157959,587.4765674
192.682251,587.4110498
192.1155472,587.370603
191.5090027,587.206582
190.9035034,587.0282373
190.3315506,586.9843481
189.7162018,587.256814
189.1158981,587.0204907
188.5068512,586.7823999
187.9376068,586.503457
187.3141022,586.2344067
186.6889496,585.9577881
186.0751038,585.633418
185.4710541,585.3538574
184.9200516,585.1416772
184.2935028,584.7903125
183.7330017,584.5132886
183.1511002,584.1679492
182.5222473,583.8891602
181.9001007,583.6740771
181.2781448,583.2701392
180.7169952,583.035459
180.1280975,582.6913574
179.5082474,582.378396
178.9011002,582.0785547
178.2939987,581.6204663
177.6791534,581.3050146
177.1287537,580.885
176.4930496,580.5148657
175.8822556,580.1653247
175.3311005,579.7910767
174.7170029,579.4253125
174.115097,578.9754663
173.4828491,578.5794507
172.9039001,578.1828125
172.2708511,577.7264185
171.718895,577.3559375
171.090004,576.9040332
170.5315018,576.5028516
169.9423981,576.1277295
169.3359451,575.7013843
168.6853485,575.2485229
168.1027985,574.825874
167.5122452,574.6324341
166.8878479,574.1475391
166.3192978,573.7306104
165.6949539,573.2100488
165.1570511,572.8001538
164.6382523,572.3477563
164.032402,571.8261499
163.4263992,571.3566626
162.8015518,570.8414648
162.1553497,570.3221094
161.5855484,569.8103955
161.0149536,569.306001
160.406456,568.7729565
159.7826996,568.2446338
159.2322006,567.7716187
158.6227493,567.2383789
157.979805,566.6588159
157.4188004,566.0886963
156.7943039,565.5489111
156.1723022,564.9182178
155.6076508,564.402854
154.9940491,563.8403662
154.3624573,563.1714893
153.7737503,562.6323438
153.2321472,562.0663379
152.3198471,561.1866699
151.7156525,560.564585
151.0837479,559.866748
150.5120468,559.3316724
149.9104004,558.6854956
149.2782059,558.0388501
148.7183456,557.491438
148.1118469,556.7798535
147.495697,556.1557544
146.8827972,555.4650732
146.3110504,554.8207397
145.6956558,554.1664941
145.0905533,553.5156055
144.4754028,552.7882568
143.9127045,552.2037915
143.2878952,551.3996997
142.7005997,550.7808203
142.0923004,550.1143872
141.4947433,549.3720288
140.9143066,548.6998047
140.3201523,547.9599194
139.6974945,547.2444067
139.0904007,546.5014697
138.4740067,545.8012134
137.8644485,545.0343066
137.2933502,544.3655957
136.6784515,543.6317847
136.1429977,542.9394458
135.5099487,542.2046777
134.9077454,541.4113208
134.2643051,540.6474976
133.7151489,539.9841309
133.101799,539.1485132
132.4857483,538.3694946
131.8695984,537.5645435
131.2797546,536.8104468
130.7192001,536.1197583
130.103302,535.2958447
129.4529953,534.4749121
128.8656006,533.6729834
128.2681503,532.8925098
127.6928024,532.137959
127.0744019,531.2943774
126.4850998,530.5423047
125.9079018,529.8979004
125.2738495,529.1206519
124.7096519,528.4647314
124.0862007,527.7541064
123.4695511,526.9262451
122.8908005,526.2080347
122.2639465,525.4512134
121.7165527,524.8372095
121.0577507,524.1273389
120.4734001,523.3813257
119.9206009,522.692876
119.2966003,521.9820801
118.6746025,521.3133594
118.1261482,520.6674951
117.501297,519.9181274
116.9004478,519.3352197
116.2457008,518.5655566
115.6951485,517.8210571
115.0424995,516.9835596
114.5017509,516.4020093
113.9053001,515.5906714
113.2907028,515.0678101
112.6842499,514.2913257
112.1155014,513.4808765
111.4983025,512.6470996
110.8976517,511.8697119
110.2856026,511.0142432
109.6769485,510.203739
109.0962486,509.4135144
108.47575,508.5769482
107.8720512,507.7019653
107.3305016,506.968208
106.7250977,506.1617395
106.1007004,505.3301184
105.4973984,504.5270032
104.8917999,503.7438916
104.2768021,502.9156628
103.7122002,502.1914539
103.1040535,501.375636
102.5212517,500.6311523
101.9073486,499.8055396
101.2776985,499.0176245
100.7327995,498.2906738
100.1175995,497.5050427
99.50740051,496.7171265
98.85380173,495.8158557
98.17024994,494.9978333
97.59590149,494.242843
97.00909805,493.5114807
96.40730286,492.7427673
95.79815292,491.9589453
95.16365051,491.1487708
94.55049896,490.4148352
94.0230484,489.7103174
93.38805008,488.9850732
92.76834869,488.190105
92.1304512,487.426698
91.44400024,486.6177222
90.78765106,485.7892236
90.17985153,485.0094434
89.62200165,484.3566187
88.96585083,483.5763
88.33780289,482.8348425
87.80754852,482.1943115
87.14165115,481.4227039
86.46630096,480.6897681
85.92879868,480.1207153
85.28029633,479.4138599
84.66764832,478.6789624
84.0401001,477.9809058
83.35269928,477.2202136
82.66975021,476.4466174
82.05534744,475.7639905
81.39074707,475.0298755
80.77910233,474.3621887
80.17689896,473.6687317
79.58535004,473.0076367
78.99084854,472.3646851
78.39649963,471.7383435
77.77519989,471.0511914
77.20669937,470.4007349
76.62865067,469.8286694
75.99880219,469.136637
75.38644791,468.488208
74.79969788,467.863429
74.20999908,467.2351392
73.57025146,466.5720337
73.03630066,465.9909485
72.40394974,465.3211389
71.81340027,464.7027393
71.16959763,464.01797
70.58769989,463.3815564
70.02285004,462.7847656
69.41415024,462.1466736
68.80355072,461.4858447
68.21284866,460.8791187
67.61175156,460.2156958
66.96929932,459.5646399
66.43815231,458.9736536
65.79925156,458.2925537
65.18424988,457.6138037
64.57970047,456.9626208
64.03995132,456.3626538
63.41679955,455.6491296
62.78569984,454.9684497
62.18605042,454.2851001
61.61314964,453.6576782
61.00959969,452.9360681
60.35984993,452.2069775
59.71204948,451.3913782
59.13519859,450.7104529
58.51715088,449.9716492
57.88134956,449.1918347
57.28709984,448.4780334
56.70644951,447.7557874
56.09045029,446.9638794
55.52490044,446.2227563
54.87809944,445.3403345
54.27099991,444.4892847
53.68905067,443.6846252
53.09825134,442.8431836
52.47870064,441.9374182
51.92009926,441.0984143
51.29630089,440.0778674
50.6724987,439.082804
50.0605011,438.0329492
49.54294968,437.1070703
48.94459915,436.0476428
48.30784988,434.8501196
47.71224976,433.6893579
47.16215134,432.5081018
46.6399498,431.3997656
46.02314949,429.996936
45.37110138,428.3759509
44.71635056,426.6971655
43.81739998,424.062644
43.17315102,422.0179346
42.6270504,420.1265674
41.97655106,417.6687659
41.42205048,415.3256091
40.81895065,412.4465833
40.19075012,409.1356689
39.62829971,405.8355786
39.03750038,401.8369055
38.38369942,396.8949072
37.80690002,391.745426
37.20070076,385.5098657
36.63805008,378.7409119
36.00830078,370.4084888
35.39754868,360.6666711
34.75520134,349.311427
34.18144989,337.0052271
33.61199951,324.0461108
32.97749901,307.6148279
32.40649986,290.6484766
31.79745007,271.4027307
31.21164989,251.8649719
30.63134956,231.3342981
29.99814987,208.3598938
29.4343996,187.4146167
28.76515007,163.3754926
28.24040031,145.4131152
27.62590027,124.7906158
26.99504948,106.0442731
